Fiyat,İlan Tarihi,Marka,Seri,Model,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Renk,Motor_Hacmi,Motor_Gucu,Çekiş,Ort_Yakit_Tuketimi,Yakit_Deposu,Hizlanma_0_100_Sn,Agirlik,Silindir_Sayisi
735000.0,17 Kasım 2023,Honda,Civic,1.6 i-VTEC Elegance,2010,164000.0,Düz,LPG & Benzin,Sedan,Bej,1595,125,Önden Çekiş,6.7,50,197,1855,4.0
639000.0,17 Kasım 2023,Renault,Clio,1.5 dCi Touch,2017,149000.0,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1461,90,Önden Çekiş,3.7,45,172,1690,4.0
699000.0,17 Kasım 2023,Dacia,Sandero,1.5 dCi Stepway,2017,86000.0,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1461,90,Önden Çekiş,3.8,50,176,1708,4.0
1000000.0,17 Kasım 2023,Hyundai,i20,1.0 T-GDI Style,2023,6500.0,Yarı Otomatik,Benzin,Hatchback/5,Kırmızı,998,100,Önden Çekiş,5.2,40,195,1870,4.0
272000.0,17 Kasım 2023,Hyundai,Accent,1.5 CRDi Admire,2006,226000.0,Düz,Dizel,Sedan,Beyaz,1493,82,Önden Çekiş,5.5,45,197,1693,4.0
615000.0,17 Kasım 2023,Volkswagen,Polo,1.6 TDi Comfortline,2013,132000.0,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598,90,Önden Çekiş,4.3,45,176,1708,4.0
380000.0,17 Kasım 2023,Renault,Symbol,1.5 dCi Expression,2010,225000.0,Düz,Dizel,Sedan,Gri (Gümüş),1461,85,Önden Çekiş,4.3,50,166,1620,4.0
1250000.0,17 Kasım 2023,Mercedes - Benz,E,250 Elit,2013,288000.0,Otomatik,Benzin,Sedan,Beyaz,1991,211,Arkadan İtiş,6.1,59,170,1570,3.0
850000.0,17 Kasım 2023,Ford,Focus,1.5 TDCi Trend X,2018,115000.0,Otomatik,Dizel,Bilinmiyor,Diğer,1500,120,Önden Çekiş,4.3,47,177,1535,4.0
1180000.0,17 Kasım 2023,Volvo,S60,1.5 T3 Premium,2017,68000.0,Otomatik,Benzin,Sedan,Beyaz,1498,152,Önden Çekiş,5.8,67,170,1660,4.0
435000.0,17 Kasım 2023,Renault,Symbol,1.4 Authentique,2009,153000.0,Düz,LPG & Benzin,Sedan,Gri,1390,75,Önden Çekiş,7.1,50,194,1850,4.0
349500.0,17 Kasım 2023,Honda,Jazz,1.4 LS,2004,238000.0,Düz,LPG & Benzin,Hatchback/5,Mavi,1339,83,Önden Çekiş,5.8,42,243,2245,4.0
705000.0,17 Kasım 2023,Renault,Clio,1.5 dCi Icon,2016,145000.0,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1461,90,Önden Çekiş,3.7,45,170,1489,4.0
570000.0,17 Kasım 2023,Volkswagen,Jetta,1.6 FSi Comfortline,2007,350000.0,Düz,Benzin,Sedan,Siyah,1598,115,Önden Çekiş,6.9,55,170,1470,4.0
265000.0,17 Kasım 2023,Fiat,Marea,1.6 ELX,1998,265000.0,Düz,LPG & Benzin,Sedan,Gri,1581,103,Önden Çekiş,8.1,63,210,1945,4.0
350000.0,16 Kasım 2023,Fiat,Palio,1.2 EL,2004,274000.0,Düz,LPG & Benzin,Hatchback/5,Gri,1242,81,Önden Çekiş,7.2,51,176,1708,4.0
909750.0,16 Kasım 2023,Volkswagen,Jetta,1.6 TDi Comfortline,2015,192000.0,Yarı Otomatik,Dizel,Sedan,Beyaz,1598,105,Önden Çekiş,4.7,55,194,1870,4.0
699000.0,16 Kasım 2023,Dacia,Lodgy,1.5 BlueDCI Laureate,2020,49900.0,Düz,Dizel,MPV,Beyaz,1461,95,Önden Çekiş,4.2,50,176,1708,4.0
375000.0,16 Kasım 2023,Peugeot,206+,1.4 HDi Comfort,2010,244000.0,Düz,Dizel,Hatchback/5,Siyah,1398,71,Önden Çekiş,4.2,50,187,1730,4.0
455000.0,16 Kasım 2023,Hyundai,i20,1.4 CRDi Jump,2012,208000.0,Düz,Dizel,Hatchback/5,Beyaz,1396,90,Önden Çekiş,4.3,45,168,1565,4.0
576000.0,16 Kasım 2023,Peugeot,308,1.6 VTi Comfort,2009,186000.0,Otomatik,LPG & Benzin,Hatchback/5,Beyaz,1598,122,Önden Çekiş,7.3,60,166,1370,4.0
435000.0,16 Kasım 2023,Volkswagen,Golf,1.6 Pacific,2004,202000.0,Otomatik,Benzin,Hatchback/5,Gri (Gümüş),1595,102,Önden Çekiş,8.0,55,190,1920,4.0
765000.0,16 Kasım 2023,Volkswagen,Polo,1.6 TDi Comfortline,2018,205000.0,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598,95,Önden Çekiş,3.9,40,166,1476,4.0
850000.0,16 Kasım 2023,Renault,Megane,1.5 dCi Touchrome,2017,93000.0,Düz,Dizel,Hatchback/5,Mavi (metalik),1461,110,Önden Çekiş,3.7,47,174,1620,4.0
549750.0,16 Kasım 2023,Volkswagen,Jetta,1.6 FSi Comfortline,2006,240000.0,Düz,LPG & Benzin,Sedan,Füme,1598,115,Önden Çekiş,6.9,55,185,1700,4.0
555000.0,16 Kasım 2023,Volkswagen,Polo,1.4 Comfortline,2011,190000.0,Düz,LPG & Benzin,Hatchback/5,Siyah,1390,85,Önden Çekiş,5.9,45,185,1700,4.0
699999.0,16 Kasım 2023,Volkswagen,Jetta,1.6 TDi Comfortline,2012,259000.0,Yarı Otomatik,Dizel,Sedan,Beyaz,1598,105,Önden Çekiş,4.7,55,185,1743,4.0
419750.0,16 Kasım 2023,Volkswagen,Golf,1.6 Comfortline,2000,355000.0,Düz,LPG & Benzin,Hatchback/5,Gri (Gümüş),1595,105,Önden Çekiş,6.8,55,187,1841,4.0
735000.0,16 Kasım 2023,Ford,C-Max,1.6 TDCi Titanium X,2012,121000.0,Düz,Dizel,MPV,Beyaz,1560,115,Önden Çekiş,4.6,53,187,1841,4.0
378000.0,16 Kasım 2023,Ford,Fiesta,1.4 TDCi Comfort,2006,266000.0,Düz,Dizel,Hatchback/5,Gri (Gümüş),1399,68,Önden Çekiş,4.3,45,177,1550,4.0
525000510000.0,16 Kasım 2023,Fiat,Linea,1.3 Multijet Urban,2012,140000.0,Düz,Dizel,Sedan,Gri (Gümüş),1248,95,Önden Çekiş,4.9,45,190,1920,4.0
640000.0,16 Kasım 2023,Audi,A4,A4 Sedan 1.6,2005,172000.0,Düz,LPG & Benzin,Sedan,Gri (metalik),1595,102,Önden Çekiş,8.0,70,192,1684,4.0
380000.0,16 Kasım 2023,Ford,Focus,1.6 Comfort,2005,334000.0,Otomatik,LPG & Benzin,Sedan,Füme,1596,100,Önden Çekiş,7.8,55,184,1915,4.0
865000.0,16 Kasım 2023,Toyota,Corolla,1.5 Dream,2021,64270.0,Otomatik,Benzin,Sedan,Beyaz,1490,125,Önden Çekiş,5.8,50,184,1915,4.0
2050000.0,16 Kasım 2023,Volkswagen,Arteon,2.0 TDI Elegance,2017,100200.0,Yarı Otomatik,Dizel,Hatchback/5,Gri,1968,240,4WD (Sürekli),5.9,66,164,1535,4.0
580000.0,16 Kasım 2023,Fiat,500 Ailesi,500 1.2 Lounge,2011,128000.0,Yarı Otomatik,Benzin,Hatchback/3,Beyaz,1242,69,Önden Çekiş,5.0,35,170,1660,4.0
995000.0,16 Kasım 2023,Mercedes - Benz,A,A 180 BlueEFFICIENCY AMG Sport,2013,176000.0,Otomatik,Benzin,Hatchback/5,Beyaz,1595,122,Önden Çekiş,5.8,50,190,1845,4.0
539000.0,16 Kasım 2023,Peugeot,207,1.6 HDi Outdoor,2008,216000.0,Düz,Dizel,Station wagon,Gri (Gümüş),1560,91,Önden Çekiş,4.7,50,173,1620,4.0
1095000.0,16 Kasım 2023,Audi,A3,A3 Sportback 1.6 TDI Ambition,2016,144000.0,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598,110,Önden Çekiş,3.9,50,160,1305,4.0
609900.0,16 Kasım 2023,Volkswagen,Polo,1.0 Trendline,2017,45000.0,Düz,Benzin,Hatchback/5,Beyaz,999,75,Önden Çekiş,5.1,45,202,1935,4.0
749000.0,16 Kasım 2023,Volkswagen,Polo,1.0 TSi Highline,2017,182000.0,Yarı Otomatik,Benzin,Hatchback/5,Mavi (metalik),999,95,Önden Çekiş,4.6,40,174,1596,4.0
455000.0,16 Kasım 2023,Honda,Civic,1.6 i-VTEC ES,2002,255000.0,Otomatik,LPG & Benzin,Sedan,Yeşil (metalik),1590,110,Önden Çekiş,7.0,50,192,1720,4.0
790000.0,16 Kasım 2023,Volkswagen,Passat,2.0 TDi BlueMotion Comfortline,2012,360000.0,Yarı Otomatik,Dizel,Sedan,Siyah,1968,140,Önden Çekiş,5.2,70,200,1840,4.0
850000.0,16 Kasım 2023,Volkswagen,Golf,1.6 TDi BlueMotion Comfortline,2016,177000.0,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598,110,Önden Çekiş,3.9,50,173,1570,3.0
1150000.0,16 Kasım 2023,BMW,1 Serisi,116d Joy,2015,66185.0,Otomatik,Dizel,Hatchback/5,Beyaz,1496,116,Arkadan İtiş,4.1,52,187,1680,3.0
419750.0,16 Kasım 2023,Fiat,Linea,1.3 Multijet Emotion,2008,194000.0,Düz,Dizel,Sedan,Siyah,1248,90,Önden Çekiş,4.9,45,192,1550,4.0
650000.0,16 Kasım 2023,Fiat,Egea,1.3 Multijet Urban,2017,130000.0,Düz,Dizel,Sedan,Beyaz,1248,95,Önden Çekiş,4.1,45,192,1550,4.0
1120000.0,16 Kasım 2023,Peugeot,208,1.2 PureTech Allure Selection,2023,6100.0,Otomatik,Benzin,Hatchback/5,Sarı,1199,132,Önden Çekiş,4.5,44,211,2140,4.0
775000.0,15 Kasım 2023,Honda,Civic,1.6 i-VTEC ECO Elegance,2012,174000.0,Düz,LPG & Benzin,Sedan,Beyaz,1595,125,Önden Çekiş,6.7,50,195,1820,4.0
848000.0,15 Kasım 2023,Volkswagen,Jetta,1.6 TDi Comfortline,2014,165200.0,Yarı Otomatik,Dizel,Sedan,Siyah,1598,105,Önden Çekiş,4.7,55,200,1915,3.0
410000.0,15 Kasım 2023,Volkswagen,Golf,1.6 Comfortline,2000,270000.0,Otomatik,LPG & Benzin,Hatchback/5,Gri (Gümüş),1595,102,Önden Çekiş,8.0,55,170,1685,4.0
615500.0,15 Kasım 2023,Volkswagen,Scirocco,1.4 TSi Sportline,2010,237000.0,Yarı Otomatik,Benzin,Bilinmiyor,Diğer,1390,160,Önden Çekiş,6.3,55,183,1730,4.0
544950.0,15 Kasım 2023,Dacia,Sandero,1.5 dCi Stepway,2015,122000.0,Düz,Dizel,Hatchback/5,Bordo,1461,90,Önden Çekiş,4.0,50,190,1920,4.0
309000.0,15 Kasım 2023,Renault,Clio,1.4 Alize,2005,251000.0,Düz,LPG & Benzin,Sedan,Bej,1390,98,Önden Çekiş,7.0,50,185,1700,4.0
490000.0,15 Kasım 2023,Peugeot,407,1.6 HDi Executive Black,2008,275000.0,Düz,Dizel,Sedan,Siyah,1560,112,Önden Çekiş,5.3,66,218,1730,4.0
655000.0,15 Kasım 2023,Peugeot,508,1.6 e-HDi Access,2012,182000.0,Yarı Otomatik,Dizel,Sedan,Beyaz,1560,114,Önden Çekiş,4.4,72,185,1675,4.0
718000.0,15 Kasım 2023,Volkswagen,Jetta,1.2 TSi Comfortline,2013,158000.0,Yarı Otomatik,Benzin,Sedan,Siyah,1197,105,Önden Çekiş,5.4,55,195,1642,4.0
2100000.0,15 Kasım 2023,BMW,5 Serisi,525d xDrive Executive M Sport,2016,255000.0,Otomatik,Dizel,Sedan,Beyaz,1995,218,4WD (Sürekli),5.1,70,167,1600,4.0
255000.0,15 Kasım 2023,Tofaş,Doğan,SLX ie,2000,111111.0,Düz,LPG & Benzin,Sedan,Gri (metalik),1581,96,Arkadan İtiş,6.6,45,186,1500,4.0
565000.0,15 Kasım 2023,Peugeot,207,1.6 VTi Premium,2008,157500.0,Otomatik,LPG & Benzin,Hatchback/5,Siyah,1598,122,Önden Çekiş,7.0,50,192,2020,4.0
869000.0,15 Kasım 2023,Hyundai,Elantra,1.6 MPI Style,2019,127000.0,Düz,LPG & Benzin,Sedan,Beyaz,1591,127,Önden Çekiş,6.6,50,197,2005,4.0
1350000.0,15 Kasım 2023,Volkswagen,Passat,1.4 TSi BlueMotion Comfortline,2015,106000.0,Yarı Otomatik,Benzin,Sedan,Siyah,1395,125,Önden Çekiş,5.0,66,190,1800,4.0
1400000.0,15 Kasım 2023,BMW,5 Serisi,520d Exclusive,2012,240000.0,Otomatik,Dizel,Sedan,Siyah,1995,184,Arkadan İtiş,5.2,70,240,2320,4.0
1150000.0,15 Kasım 2023,Honda,Civic,1.6 i-VTEC Eco Executive,2020,146500.0,Otomatik,LPG & Benzin,Sedan,Gri,1597,125,Önden Çekiş,6.3,46,180,1450,4.0
925000.0,15 Kasım 2023,Seat,Leon,1.4 EcoTSI FR,2016,101500.0,Düz,Benzin,Hatchback/5,Beyaz,1395,150,Önden Çekiş,4.9,50,195,1605,4.0
1150000.0,15 Kasım 2023,BMW,5 Serisi,520d Comfort,2012,250000.0,Otomatik,Dizel,Sedan,Beyaz,1995,184,Arkadan İtiş,5.2,70,200,1863,4.0
998000.0,15 Kasım 2023,BMW,3 Serisi,320d M Sport,2013,320000.0,Otomatik,Dizel,Sedan,Kahverengi,1995,184,Arkadan İtiş,4.4,57,208,2010,4.0
605000.0,15 Kasım 2023,Fiat,Egea,1.4 Fire Easy,2017,103000.0,Düz,LPG & Benzin,Sedan,Beyaz,1368,95,Önden Çekiş,5.7,45,225,2230,4.0
709000.0,15 Kasım 2023,Renault,Clio,1.0 TCe Touch,2023,18200.0,Düz,Benzin,Hatchback/5,Beyaz,999,90,Önden Çekiş,5.0,42,215,1730,4.0
744900.0,15 Kasım 2023,Fiat,500 Ailesi,500L 1.3 Mjet PopStar,2017,92620.0,Yarı Otomatik,Dizel,MPV,Kırmızı,1248,95,Önden Çekiş,3.9,50,225,2230,4.0
569750.0,15 Kasım 2023,Hyundai,i20,1.4 MPI Jump,2015,195000.0,Otomatik,Benzin,Hatchback/5,Beyaz,1368,100,Önden Çekiş,6.2,50,185,1675,4.0
385000.0,15 Kasım 2023,Volkswagen,Passat,1.8 T Highline,1998,325000.0,Otomatik,LPG & Benzin,Sedan,Gri (Gümüş),1781,150,Önden Çekiş,9.1,62,178,1704,3.0
705000.0,15 Kasım 2023,Citroen,C-Elysee,1.5 BlueHDi Feel,2021,60000.0,Düz,Dizel,Sedan,Beyaz,1499,100,Önden Çekiş,3.9,50,171,1845,4.0
445000.0,15 Kasım 2023,Renault,Symbol,1.5 dCi Authentique,2010,195000.0,Düz,Dizel,Sedan,Beyaz,1461,65,Önden Çekiş,4.5,50,163,1460,4.0
405000.0,15 Kasım 2023,Renault,Megane,1.5 dCi Expression,2007,275000.0,Düz,Dizel,Sedan,Gri (Gümüş),1461,106,Önden Çekiş,4.7,60,170,1584,4.0
520000.0,15 Kasım 2023,Renault,Fluence,1.5 dCi Joy,2013,256000.0,Yarı Otomatik,Dizel,Sedan,Beyaz,1461,110,Önden Çekiş,4.4,60,217,1870,4.0
385000.0,15 Kasım 2023,Toyota,Corolla,1.4 D-4D Elegant,2009,260000.0,Düz,Dizel,Sedan,Gri (Gümüş),1364,90,Önden Çekiş,4.9,55,189,1590,4.0
660000.0,15 Kasım 2023,Toyota,Auris,1.4 D-4D Comfort Extra,2012,192000.0,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1364,90,Önden Çekiş,4.8,55,160,1535,4.0
675000660000.0,15 Kasım 2023,Ford,Fiesta,1.4 TDCi Trend,2012,22000.0,Düz,Dizel,Hatchback/5,Beyaz,1398,70,Önden Çekiş,4.2,45,186,1770,4.0
459000.0,15 Kasım 2023,Seat,Leon,1.6 Stylance,2007,249000.0,Düz,LPG & Benzin,Hatchback/5,Siyah,1595,102,Önden Çekiş,7.6,55,185,1814,4.0
719500.0,15 Kasım 2023,Volkswagen,Polo,1.0 Trendline,2018,55000.0,Düz,Benzin,Hatchback/5,Beyaz,999,75,Önden Çekiş,4.7,40,175,1761,4.0
740000.0,15 Kasım 2023,Ford,Focus,1.6 Ti-VCT Style,2015,208000.0,Yarı Otomatik,LPG & Benzin,Sedan,Lacivert,1596,125,Önden Çekiş,6.3,55,175,1749,4.0
975000.0,15 Kasım 2023,Renault,Megane,1.5 dCi Touch,2019,51000.0,Yarı Otomatik,Dizel,Sedan,Beyaz,1461,110,Önden Çekiş,3.8,49,162,1579,4.0
835000.0,15 Kasım 2023,Honda,Civic,1.6 i-VTEC ECO Elegance,2012,89000.0,Düz,Benzin,Sedan,Gri (Gümüş),1595,125,Önden Çekiş,6.7,50,184,1783,4.0
570000.0,15 Kasım 2023,Renault,Clio,1.5 dCi Touch,2017,148400.0,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1461,90,Önden Çekiş,3.7,45,160,1375,4.0
600000.0,15 Kasım 2023,Volkswagen,Golf,1.6 Comfortline,2005,106200.0,Otomatik,Benzin,Hatchback/3,Gri,1595,102,Önden Çekiş,7.4,55,170,1605,3.0
595000565000.0,15 Kasım 2023,Ford,Focus,1.6 Titanium,2010,319000.0,Otomatik,LPG & Benzin,Sedan,Lacivert,1596,100,Önden Çekiş,6.7,55,192,1900,4.0
1080000.0,15 Kasım 2023,Mercedes - Benz,E,320 Avantgarde,2004,425000.0,Otomatik,LPG & Benzin,Sedan,Gri (Gümüş),3199,224,4WD (Sürekli),10.3,80,190,1945,4.0
569900.0,15 Kasım 2023,Ford,Focus,1.6 Collection,2011,197000.0,Düz,LPG & Benzin,Hatchback/5,Beyaz,1596,100,Önden Çekiş,6.7,55,197,1693,4.0
650000.0,15 Kasım 2023,Seat,Toledo,1.6 TDI Style,2014,247000.0,Düz,Dizel,Hatchback/5,Beyaz,1598,105,Önden Çekiş,4.4,55,176,1708,4.0
745000.0,15 Kasım 2023,Volkswagen,Golf,1.4 TSi Highline,2012,147000.0,Yarı Otomatik,LPG & Benzin,Hatchback/5,Gri (Gümüş),1390,122,Önden Çekiş,6.0,55,181,1790,4.0
825000.0,15 Kasım 2023,Renault,Clio,1.3 TCe Touch,2020,50000.0,Yarı Otomatik,Benzin,Hatchback/5,Beyaz,1332,130,Önden Çekiş,5.2,42,182,1750,4.0
460000.0,15 Kasım 2023,Volkswagen,Passat,1.9 TDi Highline,2004,295000.0,Otomatik,Dizel,Sedan,Diğer,1896,130,Önden Çekiş,7.0,62,244,2330,6.0
780000760000.0,15 Kasım 2023,Renault,Fluence,1.5 dCi Icon,2016,188000.0,Düz,Dizel,Sedan,Mavi,1461,110,Önden Çekiş,4.6,60,190,1725,4.0
455000.0,15 Kasım 2023,Kia,Cerato,1.5 CRDi LX,2006,155000.0,Düz,Dizel,Hatchback/5,Kahverengi,1493,102,Önden Çekiş,4.9,55,200,1241,4.0
720000.0,15 Kasım 2023,Toyota,Corolla,1.6 Advance,2015,138000.0,Otomatik,Benzin,Sedan,Beyaz,1598,132,Önden Çekiş,6.1,55,203,2000,4.0
685000.0,15 Kasım 2023,Seat,Leon,1.2 TSI Style,2016,129000.0,Yarı Otomatik,Benzin,Hatchback/5,Kırmızı,1197,110,Önden Çekiş,4.9,50,170,1460,4.0
439901.0,15 Kasım 2023,Opel,Meriva,1.6 Enjoy,2004,198000.0,Düz,LPG & Benzin,MPV,Beyaz,1598,100,Önden Çekiş,7.5,53,185,1785,4.0
1450000.0,14 Kasım 2023,Peugeot,508,1.5 BlueHDI Allure,2021,55000.0,Otomatik,Dizel,Sedan,Siyah,1499,130,Önden Çekiş,3.8,55,190,1770,4.0
1445000.0,14 Kasım 2023,Peugeot,508,1.5 BlueHDI Allure,2021,55000.0,Otomatik,Dizel,Sedan,Siyah,1499,130,Önden Çekiş,3.8,55,191,1730,4.0
595000.0,14 Kasım 2023,Hyundai,i20,1.2 D-CVVT Sense,2013,55000.0,Düz,Benzin,Hatchback/5,Gri (Gümüş),1248,85,Önden Çekiş,4.9,45,175,1855,4.0
525000.0,14 Kasım 2023,Renault,Megane,1.6 Expression,2010,143000.0,Düz,Benzin,Sedan,Beyaz,1598,110,Önden Çekiş,6.8,60,167,1609,4.0
725500.0,14 Kasım 2023,Peugeot,308,1.6 THP Feeline,2010,188000.0,Otomatik,Benzin,Bilinmiyor,Beyaz,1598,142,Önden Çekiş,8.1,60,210,1840,4.0
419900.0,14 Kasım 2023,Ford,Fiesta,1.4 TDCi Collection,2006,202798.0,Düz,Dizel,Hatchback/5,Mavi (metalik),1399,68,Önden Çekiş,4.3,45,208,2020,4.0
380000.0,14 Kasım 2023,Renault,Clio,1.5 dCi Alize,2006,251000.0,Düz,Dizel,Sedan,Gri,1461,80,Önden Çekiş,4.7,50,208,2020,4.0
719900.0,14 Kasım 2023,Opel,Astra,1.4 T Cosmo,2011,148031.0,Otomatik,Benzin,Hatchback/5,Beyaz,1364,140,Önden Çekiş,7.0,56,168,1475,4.0
285000.0,14 Kasım 2023,Tofaş,Doğan,SLX ie,1998,222222.0,Düz,LPG & Benzin,Sedan,Mavi (metalik),1581,96,Arkadan İtiş,6.6,45,197,1745,4.0
1645000.0,14 Kasım 2023,Skoda,SuperB,1.5 TSI Prestige,2021,43000.0,Yarı Otomatik,Benzin,Hatchback/5,Gri,1498,150,Önden Çekiş,5.4,66,193,1710,4.0
485000.0,14 Kasım 2023,Volkswagen,Golf,1.6 FSi Comfortline,2005,240000.0,Düz,Benzin,Hatchback/5,Kırmızı,1598,115,Önden Çekiş,6.7,55,205,2055,4.0
365000.0,14 Kasım 2023,Volkswagen,Polo,1.4 Comfortline,2001,108000.0,Düz,Benzin,Hatchback/5,Kırmızı,1390,100,Önden Çekiş,6.7,45,164,1535,4.0
745000.0,14 Kasım 2023,Renault,Megane,1.5 dCi Touch,2017,122000.0,Yarı Otomatik,Dizel,Sedan,Beyaz,1461,110,Önden Çekiş,3.8,49,162,1500,4.0
