Fiyat,Marka,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Renk,Motor_Hacmi,Motor_Gucu,Çekiş,Ort_Yakit_Tuketimi,Yakit_Deposu,Agirlik,Silindir_Sayisi,Maksimum Hız
850000.0,Renault,2017,93000.0,Düz,Dizel,Hatchback/5,Mavi (metalik),1461,110,Önden Çekiş,3.7,47,1620,4.0,174
549750.0,Volkswagen,2006,240000.0,Düz,LPG & Benzin,Sedan,Füme,1598,115,Önden Çekiş,6.9,55,1700,4.0,185
555000.0,Volkswagen,2011,190000.0,Düz,LPG & Benzin,Hatchback/5,Siyah,1390,85,Önden Çekiş,5.9,45,1700,4.0,185
699999.0,Volkswagen,2012,259000.0,Yarı Otomatik,Dizel,Sedan,Beyaz,1598,105,Önden Çekiş,4.7,55,1743,4.0,185
419750.0,Volkswagen,2000,355000.0,Düz,LPG & Benzin,Hatchback/5,Gri (Gümüş),1595,105,Önden Çekiş,6.8,55,1841,4.0,187
735000.0,Ford,2012,121000.0,Düz,Dizel,MPV,Beyaz,1560,115,Önden Çekiş,4.6,53,1841,4.0,187
378000.0,Ford,2006,266000.0,Düz,Dizel,Hatchback/5,Gri (Gümüş),1399,68,Önden Çekiş,4.3,45,1550,4.0,177
640000.0,Audi,2005,172000.0,Düz,LPG & Benzin,Sedan,Gri (metalik),1595,102,Önden Çekiş,8.0,70,1684,4.0,192
380000.0,Ford,2005,334000.0,Otomatik,LPG & Benzin,Sedan,Füme,1596,100,Önden Çekiş,7.8,55,1915,4.0,184
865000.0,Toyota,2021,64270.0,Otomatik,Benzin,Sedan,Beyaz,1490,125,Önden Çekiş,5.8,50,1915,4.0,184
580000.0,Fiat,2011,128000.0,Yarı Otomatik,Benzin,Hatchback/3,Beyaz,1242,69,Önden Çekiş,5.0,35,1660,4.0,170
995000.0,Mercedes - Benz,2013,176000.0,Otomatik,Benzin,Hatchback/5,Beyaz,1595,122,Önden Çekiş,5.8,50,1845,4.0,190
539000.0,Peugeot,2008,216000.0,Düz,Dizel,Station wagon,Gri (Gümüş),1560,91,Önden Çekiş,4.7,50,1620,4.0,173
1095000.0,Audi,2016,144000.0,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598,110,Önden Çekiş,3.9,50,1305,4.0,160
455000.0,Honda,2002,255000.0,Otomatik,LPG & Benzin,Sedan,Yeşil (metalik),1590,110,Önden Çekiş,7.0,50,1720,4.0,192
850000.0,Volkswagen,2016,177000.0,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598,110,Önden Çekiş,3.9,50,1570,3.0,173
1150000.0,BMW,2015,66185.0,Otomatik,Dizel,Hatchback/5,Beyaz,1496,116,Arkadan İtiş,4.1,52,1680,3.0,187
419750.0,Fiat,2008,194000.0,Düz,Dizel,Sedan,Siyah,1248,90,Önden Çekiş,4.9,45,1550,4.0,192
650000.0,Fiat,2017,130000.0,Düz,Dizel,Sedan,Beyaz,1248,95,Önden Çekiş,4.1,45,1550,4.0,192
